License No.,Business Name,DBA,License Type,City,County,Expiration
GAAA-EJCM-SZZU,"WCW Enterprises, LLC",Lush Kaya Cultivations,Grower,BRISTOW,Creek,11/13/2023
DAAA-VKRC-CXKF,BIG BUDS DISPENSARY INC,Big Buds Natural Releaf II Dispensary,Dispensary,SKIATOOK,Tulsa,12/23/2023
DAAA-5VN0-PCYY,"HWY 17 PHARM, LLC","HWY 17 PHARM, LLC",Dispensary,SALLISAW,Sequoyah,10/25/2023
GAAA-EJAF-LYRR,Green Country MMJ,Green Country MMJ,Grower,WAGONER,Wagoner,7/7/2023
DAAA-FCZL-BTKN,"Health Express 6-T, LLC","Health Express 6-T, LLC",Dispensary,ENID,Garfield,5/11/2023
GAAA-GXCR-L17E,"Gold Leaf Acres, LLC","Gold Leaf Acres, LLC",Grower,CHOUTEAU,Mayes,2/17/2023
DAAA-E1D5-MWOU,THOMAS RAY SMITH,CANNAISSEURS,Dispensary,Hartshorne,Pittsburg,4/6/2024
PAAA-AIPV-DIXF,TURNER LOVE LLC,TURNER LOVE LLC,Processor,BURNEYVILLE,Love,12/27/2023
GAAA-VKIW-O2RF,Curl Creek Cannabis LLC,Curl Creek Cannabis,Grower,NOWATA,Nowata,9/29/2023
GAAA-6NOE-RHGZ,Golden Top Farms LLC,Golden Top Farms LLC,Grower,SPIRO,Le Flore,10/18/2022
PAAA-LYU9-PB2E,Kannagene LLC,Kannagene,Processor,TULSA,Tulsa,6/12/2023
GAAA-VKGS-XX8F,NovaSol LLC,Fifth Leaf,Grower,OKLAHOMA CITY,Oklahoma,6/19/2024
GAAA-DOME-SLVG,FOSHEE FARMACEUTICALS,FOSHEE FARMACEUTICALS,Grower,NORMAN,Cleveland,12/20/2023
GAAA-IISM-ID6J,"Loud Factory, LLC","Loud Factory, LLC",Grower,STRATFORD,Garvin,2/1/2023
DAAA-KQRO-QHT2,SB Mayfair LLC,Star Buds Mayfair,Dispensary,OKLAHOMA CITY,Oklahoma,10/20/2022
GAAA-VDJ2-AIAZ,Modern Medicine Grow LLC,Modern Medicine Grow LLC,Grower,OKLAHOMA CITY,Oklahoma,5/31/2023
GAAA-VJPA-KNSM,"301 Natural Organics, LLC",301 Natural Organics,Grower,Claremore,Rogers,10/17/2023
PAAA-XSY1-ZROU,"The Medical Joint Dispensary, LLC","The Medical Joint Dispensary, LLC",Processor,Broken Bow,McCurtain,11/8/2023
DAAA-XE92-HYEC,"Dynamic Meds OKC, LLC",Dynamic Meds,Dispensary,OKLAHOMA CITY,Oklahoma,1/9/2024
GAAA-KQEG-XSEB,"CRE, LLC",The Hive Collective Cultivation,Grower,OKLAHOMA CITY,Oklahoma,11/28/2023
GAAA-VYBR-OBNK,"Red Earth Herbals, L.L.C.",Red Earth Herbals,Grower,Gotebo,Kiowa,11/29/2023
DAAA-5NF6-QJ4F,"GOLDEN NEKTOR, LLC",GOLDEN NEKTOR,Dispensary,Texhoma,Texas,1/1/2024
GAAA-9SNF-FDI4,LYFARM LLC,LYFARM LLC,Grower,NOBLE,Cleveland,8/30/2023
GAAA-SWPU-DQ1P,"Lundy Farms, LLC","Lundy Farms, LLC GROW",Grower,MUSKOGEE,Muskogee,10/13/2023
GAAA-4YP1-NEMY,"The True Heads Cannabis Cultivation, LLC","The True Heads Cannabis Cultivation, LLC",Grower,MUSKOGEE,Muskogee,10/18/2023
DAAA-SQLZ-RQQ7,Green Times Enterprises Inc,Healing Plants,Dispensary,LEBANON,Marshall,1/10/2024
GAAA-IEB9-G2GI,Burnin Daylight Farms Incorporated,Burnin Daylight Farms Incorporated,Grower,NORMAN,Cleveland,12/20/2023
DAAA-EJ6K-39DH,Pasolindo LLC,Evergreen Cannabis Collective,Dispensary,Oklahoma City,Oklahoma,8/7/2023
GAAA-VYQF-4NZ8,Beaver's Bud Farm,Beaver's Bud Farm,Grower,ASHER,Pottawatomie,12/8/2022
GAAA-KHPD-TKMT,Directseed Distribution LLC,Highlander Herb,Grower,Norman,Cleveland,9/26/2023
DAAA-EXGQ-THXW,J-BAP Industry LLC,B-B Dispensary,Dispensary,MOORE,Cleveland,1/11/2024
DAAA-EYHY-RZFY,Mister Mary Jane LLC,Mister Mary Jane,Dispensary,DUNCAN,Stephens,9/29/2023
DAAA-4YKZ-SHBW,Bo and Ja Trucking Corp,The Wild Wood Weed,Dispensary,OKLAHOMA CITY,Oklahoma,2/28/2023
DAAA-41NI-4FPS,Mainstreet 420 Shop,Mainstreet 420 Shop,Dispensary,Binger,Caddo,5/23/2023
GAAA-ZFNI-HXTW,TKH Growers,TKH Growers,Grower,BOKOSHE,Le Flore,2/1/2023
GAAA-8YZK-ODL9,CannaBaxter Farms LLC,CannaBaxter Farms LLC,Grower,PRAGUE,Pottawatomie,10/16/2023
DAAA-44MU-XJRF,Hardee Pharms LLC,Hardee Pharms LLC,Dispensary,CALUMET,Canadian,3/31/2024
GAAA-FD8L-HRDB,MR. BUDS L.L.C.,MR. BUDS L.L.C.,Grower,ANTLERS,Pushmataha,9/26/2023
GAAA-XLLM-X7BK,Red Starz LLC,Red Starz LLC,Grower,ROSE,Delaware,12/25/2023
GAAA-P0QH-ZVAM,"OZMOS 8820 GL, LLC","OZMOS 8820 GL, LLC",Grower,MEAD,Bryan,10/19/2022
GAAA-UC6H-KQRY,"THE SandT CLUB, LLC","THE SandT CLUB, LLC",Grower,MACOMB,Pottawatomie,6/26/2023
GAAA-41DF-FANU,"Texoma Cultivation, LLC","Texoma Cultivation, LLC",Grower,MADILL,Marshall,12/18/2023
DAAA-HAAS-FAKO,Fire Depot Dispensary,Fire Depot Dispensary,Dispensary,OKLAHOMA CITY,Oklahoma,10/20/2023
TAAA-CQQW-IUQP,Resolute Transport LLC,Resolute Transport LLC,Transporter,Hugo,Choctaw,9/21/2023
DAAA-PWXD-5NW5,"MK'S Dispensary #2, LLC","MK'S Dispensary #2, LLC",Dispensary,KINGSTON,Marshall,1/10/2024
GAAA-DAG8-UBM4,SUPER ANG LLC,Super Ang LLC,Grower,SPIRO,Le Flore,5/16/2023
GAAA-CQAS-ESA2,Kuremen Company LLC,Kuremen Company LLC,Grower,OKMULGEE,Okmulgee,10/5/2022
DAAA-EKXF-XRVF,"Pot Luck Dispensary, LLC","Pot Luck Dispensary, LLC",Dispensary,LAWTON,Comanche,3/13/2024
GAAA-SPXB-LSZI,CONDEMOR LLC,CONDEMOR LLC,Grower,FOSTER,Stephens,10/19/2023
DAAA-VKK4-QESC,"The Green Tumbleweed, LLC",The Green Tumbleweed,Dispensary,LAWTON,Comanche,10/20/2023
GAAA-LBNE-DJ3U,FERG Farms LLC,Flip Cannabis Company,Grower,DUNCAN,Stephens,5/30/2023
DAAA-WGZP-NGTR,"Mile High Supply, LLC","Mile High Supply, LLC",Dispensary,NOBLE,Cleveland,11/1/2023
DAAA-41ZP-SHYN,"Southern Plains Processing, LLC","Southern Plains Processing, LLC",Dispensary,APACHE,Caddo,12/11/2022
DAAA-G0FY-INCY,"The Station Cannabis Company, LLP","The Station Cannabis Company, LLP",Dispensary,RED OAK,Latimer,10/20/2023
DAAA-ARU5-CVDO,Smoky Dreams,Smoky Dreams,Dispensary,GROVE,Delaware,2/1/2023
GAAA-4K7T-M9Q3,Rising Altitude LLC,Craft Cannabis Company,Grower,OKLAHOMA CITY,Oklahoma,12/12/2023
