d,license_number,license_status,license_status_date,license_term,license_type,license_designation,issue_date,expiration_date,licensing_authority_id,licensing_authority,business_legal_name,business_dba_name,business_image_url,business_owner_name,business_structure,business_website,activity,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,business_email,business_phone,parcel_number,premise_latitude,premise_longitude,data_refreshed_date
,GAAA-EJCM-SZZU,,,,Grower,,,11/13/2023,,,"WCW Enterprises, LLC",Lush Kaya Cultivations,,,,,,,BRISTOW,,Creek,,,,,,,
,DAAA-VKRC-CXKF,,,,Dispensary,,,12/23/2023,,,BIG BUDS DISPENSARY INC,Big Buds Natural Releaf II Dispensary,,,,,,,SKIATOOK,,Tulsa,,,,,,,
,DAAA-5VN0-PCYY,,,,Dispensary,,,10/25/2023,,,"HWY 17 PHARM, LLC","HWY 17 PHARM, LLC",,,,,,,SALLISAW,,Sequoyah,,,,,,,
,GAAA-EJAF-LYRR,,,,Grower,,,7/7/2023,,,Green Country MMJ,Green Country MMJ,,,,,,,WAGONER,,Wagoner,,,,,,,
,DAAA-FCZL-BTKN,,,,Dispensary,,,5/11/2023,,,"Health Express 6-T, LLC","Health Express 6-T, LLC",,,,,,,ENID,,Garfield,,,,,,,
,GAAA-GXCR-L17E,,,,Grower,,,2/17/2023,,,"Gold Leaf Acres, LLC","Gold Leaf Acres, LLC",,,,,,,CHOUTEAU,,Mayes,,,,,,,
,DAAA-E1D5-MWOU,,,,Dispensary,,,4/6/2024,,,THOMAS RAY SMITH,CANNAISSEURS,,,,,,,Hartshorne,,Pittsburg,,,,,34.7712,-95.6371,
,PAAA-AIPV-DIXF,,,,Processor,,,12/27/2023,,,TURNER LOVE LLC,TURNER LOVE LLC,,,,,,,BURNEYVILLE,,Love,,,,,,,
,GAAA-VKIW-O2RF,,,,Grower,,,9/29/2023,,,Curl Creek Cannabis LLC,Curl Creek Cannabis,,,,,,,NOWATA,,Nowata,,,,,,,
,GAAA-6NOE-RHGZ,,,,Grower,,,10/18/2022,,,Golden Top Farms LLC,Golden Top Farms LLC,,,,,,,SPIRO,,Le Flore,,,,,,,
,PAAA-LYU9-PB2E,,,,Processor,,,6/12/2023,,,Kannagene LLC,Kannagene,,,,,,,TULSA,,Tulsa,,,,,,,
,GAAA-VKGS-XX8F,,,,Grower,,,6/19/2024,,,NovaSol LLC,Fifth Leaf,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-DOME-SLVG,,,,Grower,,,12/20/2023,,,FOSHEE FARMACEUTICALS,FOSHEE FARMACEUTICALS,,,,,,,NORMAN,,Cleveland,,,,,,,
,GAAA-IISM-ID6J,,,,Grower,,,2/1/2023,,,"Loud Factory, LLC","Loud Factory, LLC",,,,,,,STRATFORD,,Garvin,,,,,,,
,DAAA-KQRO-QHT2,,,,Dispensary,,,10/20/2022,,,SB Mayfair LLC,Star Buds Mayfair,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-VDJ2-AIAZ,,,,Grower,,,5/31/2023,,,Modern Medicine Grow LLC,Modern Medicine Grow LLC,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-VJPA-KNSM,,,,Grower,,,10/17/2023,,,"301 Natural Organics, LLC",301 Natural Organics,,,,,,,Claremore,,Rogers,,,,,36.3941,-95.5717,
,PAAA-XSY1-ZROU,,,,Processor,,,11/8/2023,,,"The Medical Joint Dispensary, LLC","The Medical Joint Dispensary, LLC",,,,,,,Broken Bow,,McCurtain,,,,,34.0804,-94.7636,
,DAAA-XE92-HYEC,,,,Dispensary,,,1/9/2024,,,"Dynamic Meds OKC, LLC",Dynamic Meds,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-KQEG-XSEB,,,,Grower,,,11/28/2023,,,"CRE, LLC",The Hive Collective Cultivation,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-VYBR-OBNK,,,,Grower,,,11/29/2023,,,"Red Earth Herbals, L.L.C.",Red Earth Herbals,,,,,,,Gotebo,,Kiowa,,,,,35.0735,-98.8833,
,DAAA-5NF6-QJ4F,,,,Dispensary,,,1/1/2024,,,"GOLDEN NEKTOR, LLC",GOLDEN NEKTOR,,,,,,,Texhoma,,Texas,,,,,36.6311,-101.96,
,GAAA-9SNF-FDI4,,,,Grower,,,8/30/2023,,,LYFARM LLC,LYFARM LLC,,,,,,,NOBLE,,Cleveland,,,,,,,
,GAAA-SWPU-DQ1P,,,,Grower,,,10/13/2023,,,"Lundy Farms, LLC","Lundy Farms, LLC GROW",,,,,,,MUSKOGEE,,Muskogee,,,,,,,
,GAAA-4YP1-NEMY,,,,Grower,,,10/18/2023,,,"The True Heads Cannabis Cultivation, LLC","The True Heads Cannabis Cultivation, LLC",,,,,,,MUSKOGEE,,Muskogee,,,,,,,
,DAAA-SQLZ-RQQ7,,,,Dispensary,,,1/10/2024,,,Green Times Enterprises Inc,Healing Plants,,,,,,,LEBANON,,Marshall,,,,,,,
,GAAA-IEB9-G2GI,,,,Grower,,,12/20/2023,,,Burnin Daylight Farms Incorporated,Burnin Daylight Farms Incorporated,,,,,,,NORMAN,,Cleveland,,,,,,,
,DAAA-EJ6K-39DH,,,,Dispensary,,,8/7/2023,,,Pasolindo LLC,Evergreen Cannabis Collective,,,,,,,Oklahoma City,,Oklahoma,,,,,35.4678,-97.5164,
,GAAA-VYQF-4NZ8,,,,Grower,,,12/8/2022,,,Beaver's Bud Farm,Beaver's Bud Farm,,,,,,,ASHER,,Pottawatomie,,,,,,,
,GAAA-KHPD-TKMT,,,,Grower,,,9/26/2023,,,Directseed Distribution LLC,Highlander Herb,,,,,,,Norman,,Cleveland,,,,,35.2227,-97.4395,
,DAAA-EXGQ-THXW,,,,Dispensary,,,1/11/2024,,,J-BAP Industry LLC,B-B Dispensary,,,,,,,MOORE,,Cleveland,,,,,,,
,DAAA-EYHY-RZFY,,,,Dispensary,,,9/29/2023,,,Mister Mary Jane LLC,Mister Mary Jane,,,,,,,DUNCAN,,Stephens,,,,,,,
,DAAA-4YKZ-SHBW,,,,Dispensary,,,2/28/2023,,,Bo and Ja Trucking Corp,The Wild Wood Weed,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,DAAA-41NI-4FPS,,,,Dispensary,,,5/23/2023,,,Mainstreet 420 Shop,Mainstreet 420 Shop,,,,,,,Binger,,Caddo,,,,,35.3124,-98.2978,
,GAAA-ZFNI-HXTW,,,,Grower,,,2/1/2023,,,TKH Growers,TKH Growers,,,,,,,BOKOSHE,,Le Flore,,,,,,,
,GAAA-8YZK-ODL9,,,,Grower,,,10/16/2023,,,CannaBaxter Farms LLC,CannaBaxter Farms LLC,,,,,,,PRAGUE,,Pottawatomie,,,,,,,
,DAAA-44MU-XJRF,,,,Dispensary,,,3/31/2024,,,Hardee Pharms LLC,Hardee Pharms LLC,,,,,,,CALUMET,,Canadian,,,,,,,
